id,label,lineno,name,path
test_parse_query_include_pattern,Function,102,test_parse_query_include_pattern,tests/query_parser/test_query_parser.py
test_parse_query_invalid_pattern,Function,117,test_parse_query_invalid_pattern,tests/query_parser/test_query_parser.py
test_parse_url_with_subpaths,Function,130,test_parse_url_with_subpaths,tests/query_parser/test_query_parser.py
test_parse_url_invalid_repo_structure,Function,151,test_parse_url_invalid_repo_structure,tests/query_parser/test_query_parser.py
test_parse_patterns_valid,Function,165,test_parse_patterns_valid,tests/query_parser/test_query_parser.py
test_parse_patterns_invalid_characters,Function,179,test_parse_patterns_invalid_characters,tests/query_parser/test_query_parser.py
test_parse_query_with_large_file_size,Function,194,test_parse_query_with_large_file_size,tests/query_parser/test_query_parser.py
test_parse_query_empty_patterns,Function,209,test_parse_query_empty_patterns,tests/query_parser/test_query_parser.py
test_parse_query_include_and_ignore_overlap,Function,224,test_parse_query_include_and_ignore_overlap,tests/query_parser/test_query_parser.py
test_parse_query_local_path,Function,247,test_parse_query_local_path,tests/query_parser/test_query_parser.py
test_parse_query_relative_path,Function,265,test_parse_query_relative_path,tests/query_parser/test_query_parser.py
test_parse_query_empty_source,Function,282,test_parse_query_empty_source,tests/query_parser/test_query_parser.py
test_parse_url_branch_and_commit_distinction,Function,304,test_parse_url_branch_and_commit_distinction,tests/query_parser/test_query_parser.py
test_parse_query_uuid_uniqueness,Function,327,test_parse_query_uuid_uniqueness,tests/query_parser/test_query_parser.py
test_parse_url_with_query_and_fragment,Function,343,test_parse_url_with_query_and_fragment,tests/query_parser/test_query_parser.py
test_parse_url_unsupported_host,Function,360,test_parse_url_unsupported_host,tests/query_parser/test_query_parser.py
test_parse_query_with_branch,Function,375,test_parse_query_with_branch,tests/query_parser/test_query_parser.py
test_parse_repo_source_with_failed_git_command,Function,406,test_parse_repo_source_with_failed_git_command,tests/query_parser/test_query_parser.py
test_parse_repo_source_with_various_url_patterns,Function,447,test_parse_repo_source_with_various_url_patterns,tests/query_parser/test_query_parser.py
_assert_basic_repo_fields,Function,468,_assert_basic_repo_fields,tests/query_parser/test_query_parser.py
.github/dependabot.yml,File,,dependabot.yml,.github/dependabot.yml
.github/workflows/ci.yml,File,,ci.yml,.github/workflows/ci.yml
.github/workflows/publish.yml,File,,publish.yml,.github/workflows/publish.yml
.github/workflows/scorecard.yml,File,,scorecard.yml,.github/workflows/scorecard.yml
